fixation_id,frame_idx,saved_filename
0,2,fix0_frame2.png
1,110,fix1_frame110.png
2,125,fix2_frame125.png
3,138,fix3_frame138.png
4,155,fix4_frame155.png
5,166,fix5_frame166.png
6,197,fix6_frame197.png
7,219,fix7_frame219.png
8,268,fix8_frame268.png
9,322,fix9_frame322.png
10,401,fix10_frame401.png
11,413,fix11_frame413.png
12,421,fix12_frame421.png
13,447,fix13_frame447.png
14,531,fix14_frame531.png
15,559,fix15_frame559.png
16,582,fix16_frame582.png
17,596,fix17_frame596.png
18,609,fix18_frame609.png
19,731,fix19_frame731.png
20,826,fix20_frame826.png
21,918,fix21_frame918.png
22,924,fix22_frame924.png
23,1010,fix23_frame1010.png
24,1035,fix24_frame1035.png
25,1042,fix25_frame1042.png
26,1085,fix26_frame1085.png
27,1120,fix27_frame1120.png
28,1131,fix28_frame1131.png
29,1138,fix29_frame1138.png
30,1194,fix30_frame1194.png
31,1650,fix31_frame1650.png
32,1680,fix32_frame1680.png
33,1698,fix33_frame1698.png
34,2001,fix34_frame2001.png
35,2013,fix35_frame2013.png
36,2124,fix36_frame2124.png
37,2144,fix37_frame2144.png
38,2150,fix38_frame2150.png
39,2277,fix39_frame2277.png
40,2320,fix40_frame2320.png
41,2332,fix41_frame2332.png
42,2355,fix42_frame2355.png
43,2364,fix43_frame2364.png
44,2370,fix44_frame2370.png
45,2400,fix45_frame2400.png
46,2434,fix46_frame2434.png
47,2450,fix47_frame2450.png
48,2467,fix48_frame2467.png
49,2477,fix49_frame2477.png
50,2483,fix50_frame2483.png
51,2500,fix51_frame2500.png
52,2631,fix52_frame2631.png
53,2640,fix53_frame2640.png
54,2665,fix54_frame2665.png
55,2688,fix55_frame2688.png
56,2703,fix56_frame2703.png
57,2777,fix57_frame2777.png
58,2877,fix58_frame2877.png
59,2919,fix59_frame2919.png
60,2926,fix60_frame2926.png
61,2984,fix61_frame2984.png
62,3029,fix62_frame3029.png
63,3086,fix63_frame3086.png
64,3104,fix64_frame3104.png
65,3132,fix65_frame3132.png
66,3148,fix66_frame3148.png
67,3159,fix67_frame3159.png
68,3309,fix68_frame3309.png
69,3412,fix69_frame3412.png
70,3423,fix70_frame3423.png
71,3432,fix71_frame3432.png
72,3443,fix72_frame3443.png
73,3456,fix73_frame3456.png
74,3467,fix74_frame3467.png
75,3486,fix75_frame3486.png
76,3493,fix76_frame3493.png
77,3514,fix77_frame3514.png
78,3546,fix78_frame3546.png
79,3705,fix79_frame3705.png
80,3727,fix80_frame3727.png
81,3768,fix81_frame3768.png
82,3802,fix82_frame3802.png
83,3810,fix83_frame3810.png
84,3842,fix84_frame3842.png
85,3852,fix85_frame3852.png
86,3874,fix86_frame3874.png
87,3901,fix87_frame3901.png
88,3915,fix88_frame3915.png
89,3936,fix89_frame3936.png
90,3945,fix90_frame3945.png
91,3962,fix91_frame3962.png
92,3972,fix92_frame3972.png
93,3991,fix93_frame3991.png
94,4008,fix94_frame4008.png
95,4131,fix95_frame4131.png
96,4152,fix96_frame4152.png
97,4162,fix97_frame4162.png
98,4197,fix98_frame4197.png
99,4207,fix99_frame4207.png
100,4215,fix100_frame4215.png
101,4385,fix101_frame4385.png
102,4403,fix102_frame4403.png
103,4428,fix103_frame4428.png
104,4446,fix104_frame4446.png
105,4474,fix105_frame4474.png
106,4533,fix106_frame4533.png
107,4548,fix107_frame4548.png
108,4555,fix108_frame4555.png
109,4595,fix109_frame4595.png
110,4603,fix110_frame4603.png
111,4629,fix111_frame4629.png
112,4642,fix112_frame4642.png
113,4659,fix113_frame4659.png
114,4694,fix114_frame4694.png
115,4708,fix115_frame4708.png
116,4723,fix116_frame4723.png
117,4744,fix117_frame4744.png
118,4759,fix118_frame4759.png
119,4785,fix119_frame4785.png
